Date,Open,Adj Close
2019-10-18,17.38,17.13
2019-10-21,17.22,16.9
2019-10-22,16.95,17.04
2019-10-23,16.97,16.98
2019-10-24,19.89,19.98
2019-10-25,19.85,21.88
2019-10-28,21.84,21.85
2019-10-29,21.33,21.08
2019-10-30,20.87,21.0
2019-10-31,20.87,20.99
2019-11-01,21.09,20.89
2019-11-04,20.99,21.16
2019-11-05,21.31,21.15
2019-11-06,21.2,21.77
2019-11-07,21.94,22.37
2019-11-08,22.3,22.48
2019-11-11,22.93,23.01
2019-11-12,23.13,23.33
2019-11-13,23.67,23.07
2019-11-14,23.07,23.29
2019-11-15,23.38,23.48
2019-11-18,23.53,23.33
2019-11-19,23.45,23.97
2019-11-20,24.0,23.48
2019-11-21,23.63,23.66
2019-11-22,22.68,22.2
2019-11-25,22.95,22.42
2019-11-26,22.35,21.93
2019-11-27,22.07,22.09
2019-11-29,22.07,22.0
2019-12-02,21.96,22.32
2019-12-03,22.17,22.41
2019-12-04,22.52,22.2
2019-12-05,22.19,22.02
2019-12-06,22.33,22.39
2019-12-09,22.44,22.64
2019-12-10,22.66,23.26
2019-12-11,23.46,23.51
2019-12-12,23.66,23.98
2019-12-13,24.07,23.89
2019-12-16,24.17,25.43
2019-12-17,25.27,25.27
2019-12-18,25.38,26.21
2019-12-19,26.49,26.94
2019-12-20,27.35,27.04
2019-12-23,27.45,27.95
2019-12-24,27.89,28.35
2019-12-26,28.53,28.73
2019-12-27,29.0,28.69
2019-12-30,28.59,27.65
2019-12-31,27.0,27.89
2020-01-02,28.3,28.68
2020-01-03,29.37,29.53
2020-01-06,29.36,30.1
2020-01-07,30.76,31.27
2020-01-08,31.58,32.81
2020-01-09,33.14,32.09
2020-01-10,32.12,31.88
2020-01-13,32.9,34.99
2020-01-14,36.28,35.86
2020-01-15,35.32,34.57
2020-01-16,32.92,34.23
2020-01-17,33.84,34.03
2020-01-21,35.35,36.48
2020-01-22,38.13,37.97
2020-01-23,37.62,38.15
2020-01-24,38.04,37.65
2020-01-27,36.13,37.2
2020-01-28,37.9,37.79
2020-01-29,38.38,38.73
2020-01-30,42.16,42.72
2020-01-31,42.67,43.37
2020-02-03,44.91,52.0
2020-02-04,58.86,59.14
2020-02-05,54.88,48.98
2020-02-06,46.66,49.93
2020-02-07,48.7,49.87
2020-02-10,53.33,51.42
2020-02-11,51.25,51.63
2020-02-12,51.86,51.15
2020-02-13,49.46,53.6
2020-02-14,52.48,53.34
2020-02-18,56.11,57.23
2020-02-19,61.57,61.16
2020-02-20,60.8,59.96
2020-02-21,60.47,60.07
2020-02-24,55.93,55.59
2020-02-25,56.6,53.33
2020-02-26,52.17,51.92
2020-02-27,48.67,45.27
2020-02-28,41.98,44.53
2020-03-02,47.42,49.57
2020-03-03,53.67,49.7
2020-03-04,50.93,49.97
2020-03-05,48.25,48.3
2020-03-06,46.0,46.9
2020-03-09,40.36,40.53
2020-03-10,43.96,43.02
2020-03-11,42.68,42.28
2020-03-12,38.73,37.37
2020-03-13,39.67,36.44
2020-03-16,31.3,29.67
2020-03-17,29.33,28.68
2020-03-18,25.93,24.08
2020-03-19,24.98,28.51
2020-03-20,29.21,28.5
2020-03-23,28.91,28.95
2020-03-24,31.82,33.67
